experiment_id,date,git_commit,dataset_version,preproc_version,model,hyperparameters,internal_metrics,external_metrics,artifacts,notes_decision
EXP-001,2026-09-12,ebcb924,aptos2019+splits-637936ce4d48,preproc_v1,effnet-b3-ordinal-mse,"lr3e-4 bs32 ep15 wd1e-5 seed42 img300","QWK0.8646 ref-sens0.867 ref-spec0.926 recall[.92/.50/.61/.71/.24]",,kaggle:visioncare-exp1-baseline v1,"baseline exceeds expectation; grade-4 recall 0.24 = regression center-pull, EXP-2 weighted sampling target; reproducibility VERIFIED: rerun QWK 0.8740 (Δ0.0094, within ±0.01); per-epoch variance from cuDNN non-determinism noted"
EXP-002,2026-09-18,<fill>,eyepacs300-v1+aptos-splits-637936ce,preproc_v1,effnet-b3-eyepacs-pretrain-then-aptos-5fold,"pretrain lr3e-4 12ep weighted; finetune lr1e-4 10ep weighted TTA-hflip","CV-QWK 0.9059±0.008 sens0.900 spec0.939 grade4-recall~0.71","pending: holdout+messidor2","kaggle:visioncare-exp2-pretrain v2 + visioncare-exp2-finetune v1","GATE CLEARED all three; fold-CV has mild cluster-leakage caveat — holdout check next; pretrain+sampling fixed grade-4 (0.24→0.71)"
